moisture,pH,EC,nitrogen,phosphorus,potassium,soilTemperature,airTemperature,airHumidity,soilHealth
19.57,5.34,2.63,13.75,9.79,20.24,15.56,36.58,33.41,Needs Attention
58.42,7.0,1.25,68.83,37.01,55.02,24.83,30.43,75.54,Healthy
39.66,7.8,2.29,36.84,21.92,25.29,31.94,34.81,95.75,Moderate
25.96,8.09,2.26,18.3,19.61,30.13,31.12,35.25,82.59,Moderate
65.66,8.2,2.13,39.13,20.61,39.93,29.7,31.16,47.83,Moderate
81.88,7.91,0.86,31.32,21.79,38.15,30.34,33.68,94.05,Moderate
59.78,6.88,1.76,51.3,33.42,52.16,24.4,26.44,63.37,Healthy
31.47,7.72,2.2,44.56,15.29,42.64,31.63,34.37,48.93,Moderate
70.36,7.91,1.28,33.07,22.94,33.08,31.19,32.2,48.28,Moderate
19.11,4.79,2.52,12.72,12.6,10.57,13.36,18.67,34.85,Needs Attention
53.36,6.6,1.62,48.24,44.25,57.8,25.03,27.09,73.23,Healthy
33.52,7.82,1.01,22.31,13.81,25.49,32.47,28.92,47.18,Moderate
9.48,9.04,2.8,26.85,11.5,15.64,14.85,37.35,26.44,Needs Attention
57.46,6.35,1.73,57.08,32.56,47.32,28.87,22.84,65.41,Healthy
33.38,5.64,2.4,32.85,26.11,21.97,27.86,32.67,83.02,Moderate
54.65,6.44,1.63,40.03,20.59,55.14,22.05,25.3,79.89,Healthy
5.58,4.71,2.74,24.81,8.91,6.48,33.17,35.37,90.82,Needs Attention
63.41,7.04,1.5,64.4,48.69,55.75,21.94,28.89,71.75,Healthy
35.23,5.67,0.62,42.7,26.72,24.6,33.33,36.72,39.24,Moderate
82.12,8.78,2.69,22.62,10.3,12.83,36.07,34.97,29.17,Needs Attention
46.63,7.04,1.21,59.09,63.07,26.96,25.08,27.81,69.95,Healthy
43.49,7.27,1.39,52.58,48.96,59.32,23.67,24.03,61.86,Healthy
7.69,5.08,0.57,28.64,11.96,36.65,36.08,17.01,98.75,Needs Attention
43.46,6.66,2.02,75.98,50.31,44.06,22.81,24.51,64.95,Healthy
33.33,5.77,2.43,23.55,22.62,42.51,30.02,32.43,80.6,Moderate
6.95,8.14,0.54,21.8,14.55,31.11,15.4,15.93,25.38,Needs Attention
52.7,6.91,1.69,54.84,35.95,47.46,25.23,25.59,65.5,Healthy
14.34,8.32,0.44,27.67,13.71,24.31,36.84,20.81,97.65,Needs Attention
87.79,8.74,2.81,15.06,15.28,16.55,16.0,40.06,98.55,Needs Attention
28.6,6.11,2.21,26.15,35.48,37.85,30.86,37.56,54.87,Moderate
19.35,7.85,1.96,35.37,12.06,30.29,34.08,33.09,31.16,Moderate
16.23,7.66,2.53,32.31,14.84,30.87,32.87,33.21,91.94,Moderate
55.87,6.53,1.35,48.44,41.75,60.2,19.73,28.67,67.57,Healthy
46.79,7.08,1.4,63.8,29.39,61.14,22.7,29.03,83.53,Healthy
59.62,7.44,0.86,30.24,32.27,38.43,32.7,28.62,37.5,Moderate
89.04,8.63,2.57,14.6,7.13,9.56,15.54,17.58,94.43,Needs Attention
89.95,4.32,0.7,13.82,11.78,16.99,35.42,39.42,32.37,Needs Attention
37.61,7.48,2.46,31.56,14.83,25.07,31.77,30.79,96.77,Moderate
43.77,6.74,1.4,57.81,53.0,48.09,22.55,25.67,70.31,Healthy
34.76,6.88,1.85,58.29,47.9,46.95,25.91,24.77,69.78,Healthy
64.64,7.42,1.25,29.22,28.13,28.77,31.03,35.29,56.69,Moderate
86.46,8.51,2.63,17.77,8.95,14.52,17.8,18.37,30.42,Needs Attention
85.8,5.83,1.08,36.69,24.66,23.44,30.09,36.32,48.36,Moderate
79.18,7.14,1.19,34.38,19.65,16.13,33.13,35.65,52.94,Moderate
57.76,5.31,0.6,22.42,23.74,44.49,31.71,33.9,94.15,Moderate
90.84,8.51,2.75,17.11,7.55,12.74,11.48,37.36,95.04,Needs Attention
16.21,4.84,2.89,21.39,13.73,16.57,38.32,20.96,98.48,Needs Attention
42.99,6.24,1.82,53.61,38.08,77.29,26.81,30.44,86.77,Healthy
92.08,8.55,0.36,24.93,22.57,13.17,16.43,17.94,27.01,Needs Attention
50.29,6.1,1.53,48.91,37.53,56.76,25.79,22.64,79.22,Healthy
46.64,6.23,1.46,56.37,30.67,55.6,25.92,27.24,69.6,Healthy
62.99,6.03,1.19,68.0,39.72,53.83,22.78,26.62,78.16,Healthy
12.73,8.01,2.16,32.61,16.51,33.99,35.49,38.33,81.31,Moderate
38.12,6.66,1.44,59.15,36.4,57.06,20.47,28.25,88.14,Healthy
28.29,7.44,1.88,52.09,25.08,30.24,36.31,30.74,100.0,Moderate
63.71,5.57,2.5,42.29,30.87,24.69,29.7,34.19,45.5,Moderate
22.31,5.04,2.78,18.72,12.6,16.4,16.38,16.37,99.74,Needs Attention
47.78,6.76,1.62,68.82,37.52,41.56,24.69,28.41,58.85,Healthy
45.3,6.49,1.49,69.27,49.58,40.76,24.03,20.42,72.98,Healthy
21.22,6.92,1.69,49.88,43.84,49.9,19.21,32.86,70.17,Healthy
30.21,8.05,2.22,32.74,10.18,47.23,33.44,34.45,59.37,Moderate
34.04,8.36,1.06,40.98,21.06,14.77,32.5,35.32,46.13,Moderate
51.8,5.46,0.71,17.85,14.29,44.8,31.07,31.4,88.17,Moderate
70.34,8.39,1.85,30.82,8.75,49.45,34.33,35.29,53.9,Moderate
7.32,4.94,0.33,22.28,14.96,14.7,15.13,35.43,97.2,Needs Attention
35.39,8.27,2.58,46.12,27.25,48.83,27.49,35.95,46.71,Moderate
45.88,7.13,0.95,63.43,34.81,41.37,25.36,30.93,85.48,Healthy
54.26,6.42,1.4,46.68,51.54,45.05,20.63,22.12,71.23,Healthy
28.72,5.69,1.81,33.65,20.85,24.03,26.91,29.82,88.26,Moderate
56.49,7.09,1.39,67.86,57.79,60.01,22.46,28.28,54.38,Healthy
44.65,7.13,1.37,61.29,38.75,62.63,19.53,27.91,60.71,Healthy
56.24,6.24,1.76,53.91,28.78,67.95,24.33,32.72,82.99,Healthy
27.66,5.37,2.58,25.2,29.55,27.51,31.94,35.4,48.98,Moderate
6.03,8.32,0.53,15.06,12.31,16.78,15.72,19.04,96.8,Needs Attention
25.97,5.66,2.33,37.13,25.9,24.18,29.71,33.89,84.34,Moderate
88.24,8.62,2.97,17.75,18.77,17.07,35.27,18.54,22.33,Needs Attention
40.48,5.95,1.87,35.5,21.76,27.02,36.76,34.26,94.92,Moderate
85.13,6.17,2.59,34.22,24.79,28.05,32.4,34.54,87.0,Moderate
2.66,4.67,2.75,19.93,12.4,24.71,35.97,35.57,39.16,Needs Attention
39.09,5.85,0.6,28.45,21.74,42.99,37.13,34.98,77.42,Moderate
68.94,5.62,0.79,41.72,19.69,44.46,28.95,36.02,60.49,Moderate
27.22,6.97,1.41,52.58,55.25,48.92,20.46,28.37,75.44,Healthy
35.86,6.0,0.67,34.58,24.56,43.91,35.92,33.46,82.53,Moderate
